Class	Architecture	Topology
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S5;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Fumarase_C;_Chain_B,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Beta	:Distorted_Sandwich	:Beta-galactosidase;_Chain_A,_domain_5
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:GMP_Synthetase;_Chain_A,_domain_3
:Mainly_Alpha	:Up-down_Bundle	:Outer_membrane_efflux_proteins_(OEP)
:Mainly_Beta	:Beta_Barrel	:Upper_collar_protein_gp10_(connector_protein)_fold
:Alpha_Beta	:2-Layer_Sandwich	:Wheat_Germ_Agglutinin_(Isolectin_2);_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Dna_Ligase;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:YutG-like
:Alpha_Beta	:Roll	:2,3-Dihydroxybiphenyl_1,2-Dioxygenase;_domain_1
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Alpha	:Orthogonal_Bundle	:Transferase(Phosphotransferase);_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:6-phosphogluconate_dehydrogenase_C-terminal_fold
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Alpha_Beta	:3-Layer(bba)_Sandwich	:FAD/NAD(P)-binding_domain
:Alpha_Beta	:Alpha-Beta_Complex	:Actin;_Chain_A,_domain_4
:Mainly_Beta	:Trefoil	:Trefoil_(Acidic_Fibroblast_Growth_Factor,_subunit_A)
:Mainly_Alpha	:Up-down_Bundle	:Substrate_Binding_Domain_Of_Dnak;_Chain:A;_Domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:RNA_Cap,_Translation_Initiation_Factor_Eif4e
:Alpha_Beta	:4-Layer_Sandwich	:Purple_Acid_Phosphatase;_chain_A,_domain_2
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:hypothetical_protein_tt1805
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Mainly_Beta	:Beta_Barrel	:Thrombin,_subunit_H
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Ribbon	:Urease,_subunit_B
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Mainly_Beta	:Beta_Barrel	:Ribosomal_Protein_L25;_Chain_P
:Mainly_Alpha	:Orthogonal_Bundle	:Son_of_Sevenless_(SoS)_protein;_Chain_S,_domain_2
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:3-Layer(bba)_Sandwich	:Glucose_Oxidase;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Antithrombin;_Chain_I,_domain_2
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Trna_Endonuclease;_Chain:_A,_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Non-ribosomal_Peptide_Synthetase_Peptidyl_Carrier_Protein;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Endonuclease_Iii,_domain_2
:Alpha_Beta	:Roll	:2,3-Dihydroxybiphenyl_1,2-Dioxygenase;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Thermophilic_metalloprotease-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Beta	:Ribbon	:Laminin
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Chloramphenicol_Acetyltransferase
:Alpha_Beta	:Alpha-Beta_Complex	:Palm_domain_of_DNA_polymerase
:Mainly_Alpha	:Up-down_Bundle	:Phospholipase_A2
:Alpha_Beta	:2-Layer_Sandwich	:Nonspecific_Lipid-transfer_Protein;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Mainly_Beta	:Single_Sheet	:Ubiquitin_Ligase_Nedd4;_Chain:_W;
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Alpha_Beta	:Roll	:2,3-Dihydroxybiphenyl_1,2-Dioxygenase;_domain_1
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Alpha	:Orthogonal_Bundle	:434_Repressor_(Amino-terminal_Domain)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Sec63_N-terminal_domain-like_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Complex	:2-enoyl-CoA_Hydratase;_Chain_A,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Molybdenum_Cofactor_Biosythetic_Enzyme;_Chain_A
:Mainly_Alpha	:Alpha_Horseshoe	:Leucine-rich_Repeat_Variant
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Severin
:Mainly_Beta	:Roll	:PH-domain_like
:Mainly_Alpha	:Orthogonal_Bundle	:434_Repressor_(Amino-terminal_Domain)
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Mainly_Alpha	:Up-down_Bundle	:Glutathione_S-transferase_Yfyf_(Class_Pi);_Chain_A,_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Mainly_Alpha	:Up-down_Bundle	:Heme_Oxygenase;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Beta_Complex	:Proaerolysin;_Chain_A,_domain_3
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:2-Layer_Sandwich	:Cell_Cycle,_Spindle_Assembly_Checkpoint_Protein;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Beta_Barrel	:Elongation_Factor_Tu_(Ef-tu);_domain_3
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:2-Layer_Sandwich	:Transcription_Regulator_spoIIAA
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Orthogonal_Bundle	:Recoverin;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:D-amino_Acid_Aminotransferase;_Chain_A,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Yope_Regulator;_Chain:_A,
:Alpha_Beta	:2-Layer_Sandwich	:Enolase-like;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:ligand-binding_face_of_the_semaphorins,_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S5;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:NADH_Oxidase
:Mainly_Beta	:Beta_Barrel	:Porin
:Mainly_Alpha	:Orthogonal_Bundle	:Recoverin;_domain_1
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:Roll	:Nuclear_Transport_Factor_2;_Chain:_A,
:Mainly_Alpha	:Alpha_Horseshoe	:Leucine-rich_Repeat_Variant
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:Alpha-Beta_Complex	:Aspartate_Aminotransferase,_domain_1
:Mainly_Alpha	:Up-down_Bundle	:Monooxygenase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(bba)_Sandwich	:Chalcone_isomerase
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Complex	:Spore_Coat_Polysaccharide_Biosynthesis_Protein_SpsA;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:Ribosomal_Protein_L15;_Chain:_K;_domain_2	:Ribosomal_Protein_L15;_Chain:_K;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S5;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Alpha	:Orthogonal_Bundle	:Cytochrome_p450
:Mainly_Beta	:Distorted_Sandwich	:Coagulation_Factor_XIII;_Chain_A,_domain_1
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:6_Propeller	:Neuraminidase
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Alpha	:Orthogonal_Bundle	:Recoverin;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Glutathione_S-transferase_Yfyf_(Class_Pi);_Chain_A,_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Pseudouridine_synthase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Single_Sheet	:S-adenosyl-L-methionine-dependent_methyltransferases
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Alpha_Beta	:2-Layer_Sandwich	:Hypothetical_Protein,_Haloacid_Dehalogenase-like_Hydrolase;_Chain:_A;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:GTP_Cyclohydrolase_I;_Chain_A,_domain_1
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:7_Propeller	:Methylamine_Dehydrogenase;_Chain_H
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Few_Secondary_Structures	:Irregular	:Invariant_Chain;_Chain_I
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Alpha/beta_knot
:Mainly_Beta	:7_Propeller	:Methylamine_Dehydrogenase;_Chain_H
:Alpha_Beta	:2-Layer_Sandwich	:Herpes_Virus-1
:Few_Secondary_Structures	:Irregular	:R-elafin
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aspartate_Aminotransferase;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Macrophage_Migration_Inhibitory_Factor
:Alpha_Beta	:Alpha-Beta_Complex	:Creatine_Amidinohydrolase
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Alpha	:Orthogonal_Bundle	:Ribonucleotide_Reductase,_subunit_A
:Mainly_Beta	:Beta_Barrel	:Porin
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant
:Alpha_Beta	:2-Layer_Sandwich	:Phosphorylase_Kinase;_domain_1
:Alpha_Beta	:Alpha-Beta_Complex	:Aspartate_Aminotransferase,_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:Roll	:Mlu1-box_Binding_Protein;_DNA-binding_Domain
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Annexin_V;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Mitochondrial_Import_Receptor_Subunit_Tom20;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:Transferase(Phosphotransferase);_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:NADH_Oxidase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Alpha_Beta	:3-Layer(bba)_Sandwich	:Pyruvoyl-Dependent_Histidine_Decarboxylase;_Chain_B
:Alpha_Beta	:Alpha-Beta_Complex	:Nucleoside_Triphosphate_Pyrophosphohydrolase
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Oxidized_Rhodanese;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Dna_Ligase;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Neutral_Protease;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Gyrase_A;_domain_2
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Alpha_Beta	:2-Layer_Sandwich	:GMP_Synthetase;_Chain_A,_domain_3
:Mainly_Beta	:Distorted_Sandwich	:Acetylcholine_Binding_Protein;_Chain:_A,
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Cobalt-precorrin-4_Transmethylase;_domain_1
:Mainly_Beta	:Beta_Barrel	:Thrombin,_subunit_H
:Alpha_Beta	:Roll	:Outer_membrane_lipoprotein_wza_fold_like
:Alpha_Beta	:Alpha-Beta_Complex	:Rubredoxin-like
:Mainly_Alpha	:Orthogonal_Bundle	:Non-ribosomal_Peptide_Synthetase_Peptidyl_Carrier_Protein;_Chain_A
:Alpha_Beta	:2-Layer_Sandwich	:Dna_Ligase;_domain_1
:Alpha_Beta	:Roll	:Chitinase_A;_domain_3
:Mainly_Beta	:Distorted_Sandwich	:Beta-galactosidase;_Chain_A,_domain_5
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Beta_Barrel	:Elongation_Factor_Tu_(Ef-tu);_domain_3
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:D-amino_Acid_Aminotransferase;_Chain_A,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Herpes_Virus-1
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Alpha_Beta	:Alpha-Beta_Complex	:Sulfite_Oxidase;_Chain_A,_domain_2
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Alpha_Beta	:2-Layer_Sandwich	:TATA-Binding_Protein
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Orthogonal_Bundle	:Recoverin;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Double_Stranded_RNA_Binding_Domain
:Alpha_Beta	:Alpha-Beta_Complex	:Protein-Tyrosine_Phosphatase;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:Alpha-Beta_Complex	:Protein-Tyrosine_Phosphatase;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Topoisomerase_I;_Chain_A,_domain_4
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Mainly_Beta	:5_Propeller	:Tachylectin-2;_Chain_A
:Mainly_Beta	:Beta_Barrel	:M1_Pyruvate_Kinase;_Domain_3
:Mainly_Alpha	:Orthogonal_Bundle	:Death_Domain,_Fas
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Orthogonal_Bundle	:Death_Domain,_Fas
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aspartate_Aminotransferase;_domain_2
:Mainly_Beta	:Single_Sheet	:N-terminal_domain_of_TfIIb
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Peroxisomal_Thiolase;_Chain_A,_domain_1
:Alpha_Beta	:4-Layer_Sandwich	:Nitrilase/N-carbamoyl-D-aminoacid_amidohydrolase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Phosphorylase_Kinase;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Cyclin_A;_domain_1
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Hypothetical_Protein,_Haloacid_Dehalogenase-like_Hydrolase;_Chain:_A;_domain_2
:Mainly_Alpha	:Up-down_Bundle	:Monooxygenase
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Double_Stranded_RNA_Binding_Domain
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Alpha_Beta	:2-Layer_Sandwich	:Ribulose_1,5_Bisphosphate_Carboxylase/Oxygenase
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Mainly_Alpha	:Orthogonal_Bundle	:Ribosomal_Protein_S4_Delta_41;_Chain_A,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Mainly_Alpha	:Orthogonal_Bundle	:Endonuclease_III;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:Roll	:Dipeptide-binding_Protein;_domain_3
:Alpha_Beta	:Roll	:Thiol_Ester_Dehydrase;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Hypothetical_Protein_Ychn;_Chain:_A,
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Complex	:Zincin-like
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Pyruvate_Kinase;_Chain:_A,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Cytochrome_Bc1_Complex;_Chain_A,_domain_1
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Beta	:Ribbon	:CD59
:Alpha_Beta	:2-Layer_Sandwich	:60s_Ribosomal_Protein_L30;_Chain:_A;
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aspartate_Aminotransferase;_domain_2
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Tetrahydropterin_Synthase;_Chain_A
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aminopeptidase
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:2-Layer_Sandwich	:Double_Stranded_RNA_Binding_Domain
:Mainly_Alpha	:Up-down_Bundle	:de_novo_design_(two_linked_rop_proteins)
:Mainly_Beta	:Roll	:Spermidine_Synthase;_Chain:_A,_domain_2
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Alpha_Beta	:2-Layer_Sandwich	:GMP_Synthetase;_Chain_A,_domain_3
:Mainly_Beta	:Beta_Complex	:Beta-clip-like
:Mainly_Alpha	:Up-down_Bundle	:Transcription_Elongation_Factor_S-II;_Chain_A
:Alpha_Beta	:2-Layer_Sandwich	:Phosphorylase_Kinase;_domain_1
:Alpha_Beta	:Alpha-Beta_Complex	:2-enoyl-CoA_Hydratase;_Chain_A,_domain_1
:Mainly_Beta	:Single_Sheet	:N-terminal_domain_of_TfIIb
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Transcription_Regulator_spoIIAA
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Orthogonal_Bundle	:Isoleucyl-tRNA_Synthetase;_Domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Roll	:Pdz3_Domain
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:NMB0488-like_fold
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
